condition,graph_seed,method,containment_ratio,frozen_f1,removal_fraction,stopped_early
"size_small (n=150, m=3)",5,random,0.13765762465788278,0.3032661782661783,0.4988662131519275,
"size_small (n=150, m=3)",5,RL,0.06659163995068786,0.23529411764705882,0.5011337868480725,False
"size_small (n=150, m=3)",6,GAT threshold,0.09975901571414114,0.5714285714285715,0.4988662131519275,
"size_small (n=150, m=3)",6,GAT top-k,0.05732611247235156,0.4615384615384615,0.5555555555555556,
"size_small (n=150, m=3)",6,degree-centrality,0.04185543114299469,0.5454545454545454,0.4988662131519275,
"size_small (n=150, m=3)",6,betweenness-centrality,0.05356119516804154,0.6153846153846154,0.4988662131519275,
"size_small (n=150, m=3)",6,highest-p_uv,0.05351479303838086,0.375,0.4988662131519275,
"size_small (n=150, m=3)",6,random,0.12914026425414254,0.4904761904761905,0.4988662131519275,
"size_small (n=150, m=3)",6,RL,0.09550405949132876,0.39999999999999997,0.5011337868480725,False
"size_small (n=150, m=3)",7,GAT threshold,0.08510493912528883,0.35294117647058826,0.4988662131519275,
"size_small (n=150, m=3)",7,GAT top-k,0.055686982716980124,0.35294117647058826,0.5691609977324263,
"size_small (n=150, m=3)",7,degree-centrality,0.06790212167295466,0.4,0.4988662131519275,
"size_small (n=150, m=3)",7,betweenness-centrality,0.06376777083678749,0.35294117647058826,0.4988662131519275,
"size_small (n=150, m=3)",7,highest-p_uv,0.0849851460171833,0.375,0.4988662131519275,
"size_small (n=150, m=3)",7,random,0.11363746121342162,0.37510442773600666,0.4988662131519275,
"size_small (n=150, m=3)",7,RL,0.08066510052966563,0.4210526315789474,0.5487528344671202,False
"size_small (n=150, m=3)",8,GAT threshold,0.09642387701080804,0.3529411764705882,0.4988662131519275,
"size_small (n=150, m=3)",8,GAT top-k,0.04832933026935569,0.3529411764705882,0.5555555555555556,
"size_small (n=150, m=3)",8,degree-centrality,0.041474079714075754,0.4444444444444444,0.4988662131519275,
"size_small (n=150, m=3)",8,betweenness-centrality,0.04047120930043466,0.25000000000000006,0.4988662131519275,
"size_small (n=150, m=3)",8,highest-p_uv,0.047139105638331805,0.5454545454545454,0.4988662131519275,
"size_small (n=150, m=3)",8,random,0.1309964697467726,0.5239234449760766,0.4988662131519275,
"size_small (n=150, m=3)",8,RL,0.06923657811419259,0.47619047619047616,0.5487528344671202,False
"size_small (n=150, m=3)",9,GAT threshold,0.1340928493366514,0.30769230769230765,0.4988662131519275,
"size_small (n=150, m=3)",9,GAT top-k,0.08753444354352408,0.30769230769230765,0.528344671201814,
"size_small (n=150, m=3)",9,degree-centrality,0.042266979557413584,0.30769230769230765,0.4988662131519275,
"size_small (n=150, m=3)",9,betweenness-centrality,0.046866692009851926,0.42857142857142855,0.4988662131519275,
"size_small (n=150, m=3)",9,highest-p_uv,0.0872927527844466,0.5,0.4988662131519275,
"size_small (n=150, m=3)",9,random,0.18306458514981525,0.3927601809954751,0.4988662131519275,
"size_small (n=150, m=3)",9,RL,0.1912748563596206,0.5882352941176471,0.5487528344671202,False
"size_small (n=150, m=3)",10,GAT threshold,0.24103698249011096,0.35294117647058826,0.4988662131519275,
"size_small (n=150, m=3)",10,GAT top-k,0.08874448586659732,0.3333333333333333,0.45351473922902497,
"size_small (n=150, m=3)",10,degree-centrality,0.045371983860097456,0.4615384615384615,0.4988662131519275,
"size_small (n=150, m=3)",10,betweenness-centrality,0.05098770198623044,0.3333333333333333,0.4988662131519275,
"size_small (n=150, m=3)",10,highest-p_uv,0.05183316863828186,0.3076923076923077,0.4988662131519275,
"size_small (n=150, m=3)",10,random,0.14111472899496194,0.20952380952380953,0.4988662131519275,
"size_small (n=150, m=3)",10,RL,0.1748484143500587,0.37499999999999994,0.5487528344671202,False
"size_small (n=150, m=3)",11,GAT threshold,0.09942418515921457,0.4615384615384615,0.4988662131519275,
"size_small (n=150, m=3)",11,GAT top-k,0.05804085674434572,0.5454545454545454,0.5510204081632653,
"size_small (n=150, m=3)",11,degree-centrality,0.02817291162251247,0.4,0.4988662131519275,
"size_small (n=150, m=3)",11,betweenness-centrality,0.03263802511360372,0.4,0.4988662131519275,
"size_small (n=150, m=3)",11,highest-p_uv,0.052786401864793144,0.4615384615384615,0.4988662131519275,
"size_small (n=150, m=3)",11,random,0.13793351199274673,0.34778554778554777,0.4988662131519275,
"size_small (n=150, m=3)",11,RL,0.08850566543252228,0.5,0.5487528344671202,False
"size_small (n=150, m=3)",12,GAT threshold,0.3324578339191337,0.64,0.4988662131519275,
"size_small (n=150, m=3)",12,GAT top-k,0.28041191513597774,0.7368421052631577,0.39682539682539686,
"size_small (n=150, m=3)",12,degree-centrality,0.04629972412974381,0.30769230769230765,0.4988662131519275,
"size_small (n=150, m=3)",12,betweenness-centrality,0.07485064859659958,0.6666666666666666,0.4988662131519275,
"size_small (n=150, m=3)",12,highest-p_uv,0.09860509274111678,0.5555555555555556,0.4988662131519275,
"size_small (n=150, m=3)",12,random,0.1514495303312029,0.5200501253132832,0.4988662131519275,
"size_small (n=150, m=3)",12,RL,0.31206299873700794,0.72,0.5487528344671202,False
"size_small (n=150, m=3)",13,GAT threshold,0.1202700531532271,0.1818181818181818,0.4988662131519275,
"size_small (n=150, m=3)",13,GAT top-k,0.07639316951877226,0.1818181818181818,0.47845804988662133,
"size_small (n=150, m=3)",13,degree-centrality,0.05712901541128928,0.3333333333333333,0.4988662131519275,
"size_small (n=150, m=3)",13,betweenness-centrality,0.051628254010938804,0.16666666666666666,0.4988662131519275,
"size_small (n=150, m=3)",13,highest-p_uv,0.04908949564575362,0.42857142857142855,0.4988662131519275,
"size_small (n=150, m=3)",13,random,0.13312526618128537,0.3333333333333333,0.4988662131519275,
"size_small (n=150, m=3)",13,RL,0.14233411808822044,0.47058823529411764,0.5487528344671202,False
"size_small (n=150, m=3)",14,GAT threshold,0.09978885708129683,0.6666666666666666,0.4988662131519275,
"size_small (n=150, m=3)",14,GAT top-k,0.06694668619552063,0.7000000000000001,0.5215419501133787,
"size_small (n=150, m=3)",14,degree-centrality,0.06648929977797385,0.6086956521739131,0.4988662131519275,
"size_small (n=150, m=3)",14,betweenness-centrality,0.06795897237716217,0.4761904761904762,0.4988662131519275,
"size_small (n=150, m=3)",14,highest-p_uv,0.0645065071350708,0.3157894736842105,0.4988662131519275,
"size_small (n=150, m=3)",14,random,0.1567514825150218,0.5497835497835498,0.4988662131519275,
"size_small (n=150, m=3)",14,RL,0.0935038981504576,0.6086956521739131,0.5487528344671202,False
"size_large (n=600, m=3)",0,GAT threshold,0.050908181160143666,0.5217391304347826,0.5002791736460078,
"size_large (n=600, m=3)",0,GAT top-k,0.03375241711165066,0.523076923076923,0.5170295924064768,
"size_large (n=600, m=3)",0,degree-centrality,0.014605455203276151,0.537313432835821,0.5002791736460078,
"size_large (n=600, m=3)",0,betweenness-centrality,0.01196569422181591,0.5079365079365079,0.5002791736460078,
"size_large (n=600, m=3)",0,highest-p_uv,0.03706446258679413,0.4375,0.5002791736460078,
"size_large (n=600, m=3)",0,random,0.09974256399461187,0.4337064337064337,0.5002791736460078,
"size_large (n=600, m=3)",0,RL,0.04192393093647175,0.4931506849315069,0.501395868230039,False
"size_large (n=600, m=3)",1,GAT threshold,0.031168051892209756,0.3404255319148936,0.5002791736460078,
"size_large (n=600, m=3)",1,GAT top-k,0.01694831045476251,0.34782608695652173,0.5555555555555556,
"size_large (n=600, m=3)",1,degree-centrality,0.016870261223190776,0.4255319148936171,0.5002791736460078,
"size_large (n=600, m=3)",1,betweenness-centrality,0.012100328589150076,0.3181818181818182,0.5002791736460078,
"size_large (n=600, m=3)",1,highest-p_uv,0.022062848831986805,0.23255813953488372,0.5002791736460078,
"size_large (n=600, m=3)",1,random,0.06768586599471922,0.26643244034548386,0.5002791736460078,
"size_large (n=600, m=3)",1,RL,0.02549244722039784,0.44000000000000006,0.5499720826353992,False
"size_large (n=600, m=3)",2,GAT threshold,0.027199105242814044,0.42857142857142855,0.5002791736460078,
"size_large (n=600, m=3)",2,GAT top-k,0.01282554350565679,0.39285714285714285,0.5812395309882747,
"size_large (n=600, m=3)",2,degree-centrality,0.014467145493767635,0.3846153846153846,0.5002791736460078,
"size_large (n=600, m=3)",2,betweenness-centrality,0.01666567983766471,0.37037037037037035,0.5002791736460078,
"size_large (n=600, m=3)",2,highest-p_uv,0.023456568731367228,0.37931034482758624,0.5002791736460078,
"size_large (n=600, m=3)",2,random,0.07105751704045146,0.33542976939203356,0.5002791736460078,
"size_large (n=600, m=3)",2,RL,0.026573861864379524,0.4363636363636364,0.5008375209380235,False
"size_large (n=600, m=3)",3,GAT threshold,0.028916537876700895,0.5357142857142857,0.5002791736460078,
"size_large (n=600, m=3)",3,GAT top-k,0.016515449872808678,0.5185185185185186,0.5734226689000559,
"size_large (n=600, m=3)",3,degree-centrality,0.014695818952451159,0.3829787234042553,0.5002791736460078,
"size_large (n=600, m=3)",3,betweenness-centrality,0.015795551651956553,0.4,0.5002791736460078,
"size_large (n=600, m=3)",3,highest-p_uv,0.023006983616766754,0.36000000000000004,0.5002791736460078,
"size_large (n=600, m=3)",3,random,0.0875051361261762,0.3731679338402028,0.5002791736460078,
"size_large (n=600, m=3)",3,RL,0.036462135538351655,0.576271186440678,0.5002791736460078,False
"size_large (n=600, m=3)",4,GAT threshold,0.020556959582688713,0.25,0.5002791736460078,
"size_large (n=600, m=3)",4,GAT top-k,0.01609810154543422,0.25641025641025644,0.5477386934673367,
"size_large (n=600, m=3)",4,degree-centrality,0.013385606985103594,0.33333333333333337,0.5002791736460078,
"size_large (n=600, m=3)",4,betweenness-centrality,0.01294535589824445,0.1951219512195122,0.5002791736460078,
"size_large (n=600, m=3)",4,highest-p_uv,0.02635559019839642,0.1951219512195122,0.5002791736460078,
"size_large (n=600, m=3)",4,random,0.07496748954514112,0.27315793594863363,0.5002791736460078,
"size_large (n=600, m=3)",4,RL,0.0334161645040732,0.3404255319148936,0.501395868230039,False
"size_large (n=600, m=3)",5,GAT threshold,0.024439236665290964,0.6567164179104477,0.5002791736460078,
"size_large (n=600, m=3)",5,GAT top-k,0.014061502770967656,0.6567164179104477,0.5633724176437744,
"size_large (n=600, m=3)",5,degree-centrality,0.013863880111007618,0.6,0.5002791736460078,
"size_large (n=600, m=3)",5,betweenness-centrality,0.013287444703664554,0.5862068965517242,0.5002791736460078,
"size_large (n=600, m=3)",5,highest-p_uv,0.01580168054696468,0.4745762711864407,0.5002791736460078,
"size_large (n=600, m=3)",5,random,0.06398803161395432,0.5958769203834201,0.5002791736460078,
"size_large (n=600, m=3)",5,RL,0.01761248992764365,0.6461538461538461,0.5499720826353992,False
"size_large (n=600, m=3)",6,GAT threshold,0.03285649242228269,0.5384615384615384,0.5002791736460078,
"size_large (n=600, m=3)",6,GAT top-k,0.019194377001217584,0.5106382978723405,0.5616973757677275,
"size_large (n=600, m=3)",6,degree-centrality,0.015388272181404455,0.5217391304347826,0.5002791736460078,
"size_large (n=600, m=3)",6,betweenness-centrality,0.01748422367283755,0.3,0.5002791736460078,
"size_large (n=600, m=3)",6,highest-p_uv,0.030575669499811928,0.4444444444444445,0.5002791736460078,
"size_large (n=600, m=3)",6,random,0.06374433970420282,0.39240228370663155,0.5002791736460078,
"size_large (n=600, m=3)",6,RL,0.03707099260019285,0.5384615384615384,0.501395868230039,False
"size_large (n=600, m=3)",7,GAT threshold,0.027345109728662886,0.5185185185185185,0.5002791736460078,
"size_large (n=600, m=3)",7,GAT top-k,0.018416924261466253,0.5,0.5739810161920715,
"size_large (n=600, m=3)",7,degree-centrality,0.017623889272639272,0.4489795918367347,0.5002791736460078,
"size_large (n=600, m=3)",7,betweenness-centrality,0.0197482707431932,0.4166666666666667,0.5002791736460078,
"size_large (n=600, m=3)",7,highest-p_uv,0.029461374074283116,0.3333333333333333,0.5002791736460078,
"size_large (n=600, m=3)",7,random,0.08807580079731261,0.3971791662655242,0.5002791736460078,
"size_large (n=600, m=3)",7,RL,0.03825889380365656,0.5818181818181818,0.5002791736460078,False
"size_large (n=600, m=3)",8,GAT threshold,0.02788074877451459,0.2857142857142857,0.5002791736460078,
"size_large (n=600, m=3)",8,GAT top-k,0.01996695969467629,0.3255813953488372,0.5611390284757118,
"size_large (n=600, m=3)",8,degree-centrality,0.016196560100433837,0.4444444444444445,0.5002791736460078,
"size_large (n=600, m=3)",8,betweenness-centrality,0.014487508654588846,0.3181818181818182,0.5002791736460078,
"size_large (n=600, m=3)",8,highest-p_uv,0.025293621245052942,0.24390243902439024,0.5002791736460078,
"size_large (n=600, m=3)",8,random,0.07936760553547506,0.42857142857142855,0.5002791736460078,
"size_large (n=600, m=3)",8,RL,0.034014809114877455,0.5098039215686274,0.5008375209380235,False
"size_large (n=600, m=3)",9,GAT threshold,0.06386796356596809,0.19999999999999998,0.5002791736460078,
"size_large (n=600, m=3)",9,GAT top-k,0.027226848596470468,0.19999999999999998,0.5214963707426019,
"size_large (n=600, m=3)",9,degree-centrality,0.007869988837922911,0.0,0.5002791736460078,
"size_large (n=600, m=3)",9,betweenness-centrality,0.014099108492647937,0.21818181818181817,0.5002791736460078,
"size_large (n=600, m=3)",9,highest-p_uv,0.023280048603670833,0.14814814814814814,0.5002791736460078,
"size_large (n=600, m=3)",9,random,0.0786478308903366,0.10918439716312058,0.5002791736460078,
"size_large (n=600, m=3)",9,RL,0.07894276832259732,0.04347826086956522,0.5008375209380235,False
"size_large (n=600, m=3)",10,GAT threshold,0.029436292532234797,0.5666666666666667,0.5002791736460078,
"size_large (n=600, m=3)",10,GAT top-k,0.020691283534143633,0.5517241379310345,0.5589056393076494,
"size_large (n=600, m=3)",10,degree-centrality,0.015197680918936609,0.5098039215686275,0.5002791736460078,
"size_large (n=600, m=3)",10,betweenness-centrality,0.015089524390190432,0.326530612244898,0.5002791736460078,
"size_large (n=600, m=3)",10,highest-p_uv,0.033662247652438984,0.28571428571428575,0.5002791736460078,
"size_large (n=600, m=3)",10,random,0.06309564197042168,0.4276101750019619,0.5002791736460078,
"size_large (n=600, m=3)",10,RL,0.09103289477337823,0.5614035087719298,0.5002791736460078,False
"size_large (n=600, m=3)",11,GAT threshold,0.034167072332130635,0.5333333333333333,0.5002791736460078,
"size_large (n=600, m=3)",11,GAT top-k,0.017707323749412182,0.4230769230769231,0.5566722501395869,
"size_large (n=600, m=3)",11,degree-centrality,0.011625336902031285,0.47058823529411764,0.5002791736460078,
"size_large (n=600, m=3)",11,betweenness-centrality,0.012122120979345383,0.32,0.5002791736460078,
"size_large (n=600, m=3)",11,highest-p_uv,0.031086336015541945,0.2040816326530612,0.5002791736460078,
"size_large (n=600, m=3)",11,random,0.0740526790537749,0.45555555555555555,0.5002791736460078,
"size_large (n=600, m=3)",11,RL,0.1250895365667873,0.5882352941176471,0.5499720826353992,False
"size_large (n=600, m=3)",12,GAT threshold,0.04321703354707672,0.5151515151515151,0.5002791736460078,
"size_large (n=600, m=3)",12,GAT top-k,0.01911615821358501,0.5074626865671642,0.5706309324399776,
"size_large (n=600, m=3)",12,degree-centrality,0.016421751567879696,0.3571428571428571,0.5002791736460078,
"size_large (n=600, m=3)",12,betweenness-centrality,0.012022077578020976,0.3928571428571428,0.5002791736460078,
"size_large (n=600, m=3)",12,highest-p_uv,0.023766694383196927,0.12244897959183673,0.5002791736460078,
"size_large (n=600, m=3)",12,random,0.06672863523761638,0.39452798663324984,0.5002791736460078,
"size_large (n=600, m=3)",12,RL,0.04037534629138819,0.5352112676056338,0.5008375209380235,False
"size_large (n=600, m=3)",13,GAT threshold,0.03627408621471367,0.5555555555555556,0.5002791736460078,
"size_large (n=600, m=3)",13,GAT top-k,0.022195830329878243,0.5000000000000001,0.5678391959798995,
"size_large (n=600, m=3)",13,degree-centrality,0.0168092658816067,0.4166666666666667,0.5002791736460078,
"size_large (n=600, m=3)",13,betweenness-centrality,0.014725978176334201,0.3404255319148936,0.5002791736460078,
"size_large (n=600, m=3)",13,highest-p_uv,0.03266425890416668,0.2978723404255319,0.5002791736460078,
"size_large (n=600, m=3)",13,random,0.06251667911306245,0.34504241412877207,0.5002791736460078,
"size_large (n=600, m=3)",13,RL,0.032663109369252936,0.5454545454545455,0.5002791736460078,False
"size_large (n=600, m=3)",14,GAT threshold,0.03332844095778562,0.2727272727272727,0.5002791736460078,
"size_large (n=600, m=3)",14,GAT top-k,0.01694657060892136,0.2857142857142857,0.5801228364042434,
"size_large (n=600, m=3)",14,degree-centrality,0.015972264051626436,0.4782608695652174,0.5002791736460078,
"size_large (n=600, m=3)",14,betweenness-centrality,0.017720769297393503,0.25,0.5002791736460078,
"size_large (n=600, m=3)",14,highest-p_uv,0.023692532899494995,0.1951219512195122,0.5002791736460078,
"size_large (n=600, m=3)",14,random,0.08143782239907589,0.24543064979521975,0.5002791736460078,
"size_large (n=600, m=3)",14,RL,0.15596597829398032,0.326530612244898,0.5002791736460078,False
"density_sparse (n=300, m=2)",0,GAT threshold,0.11292892005663051,0.0,0.5,
"density_sparse (n=300, m=2)",0,GAT top-k,0.06856191305726182,0.0,0.598993288590604,
"density_sparse (n=300, m=2)",0,degree-centrality,0.05897666550898596,0.28571428571428575,0.5,
"density_sparse (n=300, m=2)",0,betweenness-centrality,0.0788935883970994,0.0,0.5,
"density_sparse (n=300, m=2)",0,highest-p_uv,0.07407028262044564,0.0,0.5,
"density_sparse (n=300, m=2)",0,random,0.15331700719485314,0.16666666666666666,0.5,
"density_sparse (n=300, m=2)",0,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",1,GAT threshold,0.280754944080742,0.0,0.5,
"density_sparse (n=300, m=2)",1,GAT top-k,0.18235329962590602,0.0,0.5385906040268457,
"density_sparse (n=300, m=2)",1,degree-centrality,0.11704688839529265,0.0,0.5,
"density_sparse (n=300, m=2)",1,betweenness-centrality,0.1282224836333879,0.0,0.5,
"density_sparse (n=300, m=2)",1,highest-p_uv,0.11696872808043021,0.0,0.5,
"density_sparse (n=300, m=2)",1,random,0.17917978593510508,0.0,0.5,
"density_sparse (n=300, m=2)",1,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",2,GAT threshold,0.18618820337329134,0.0,0.5,
"density_sparse (n=300, m=2)",2,GAT top-k,0.1635329832599097,0.0,0.6023489932885906,
"density_sparse (n=300, m=2)",2,degree-centrality,0.18168550742747147,0.0,0.5,
"density_sparse (n=300, m=2)",2,betweenness-centrality,0.1615747910761536,0.0,0.5,
"density_sparse (n=300, m=2)",2,highest-p_uv,0.16997073662950882,0.0,0.5,
"density_sparse (n=300, m=2)",2,random,0.3365281275977371,0.0,0.5,
"density_sparse (n=300, m=2)",2,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",3,GAT threshold,0.1107638745288486,0.22222222222222224,0.5,
"density_sparse (n=300, m=2)",3,GAT top-k,0.087135270753186,0.4,0.5973154362416108,
"density_sparse (n=300, m=2)",3,degree-centrality,0.10808575638943957,0.0,0.5,
"density_sparse (n=300, m=2)",3,betweenness-centrality,0.09304210523144907,0.3333333333333333,0.5,
"density_sparse (n=300, m=2)",3,highest-p_uv,0.09332832537061038,0.0,0.5,
"density_sparse (n=300, m=2)",3,random,0.19055690288034288,0.2285714285714286,0.5,
"density_sparse (n=300, m=2)",3,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",4,GAT threshold,0.15989168674565152,0.5,0.5,
"density_sparse (n=300, m=2)",4,GAT top-k,0.144863646968506,0.6666666666666666,0.5822147651006712,
"density_sparse (n=300, m=2)",4,degree-centrality,0.16003322231098568,0.0,0.5,
"density_sparse (n=300, m=2)",4,betweenness-centrality,0.13948608949138094,0.5,0.5,
"density_sparse (n=300, m=2)",4,highest-p_uv,0.17809610419221739,0.6666666666666666,0.5,
"density_sparse (n=300, m=2)",4,random,0.20548734982253783,0.5555555555555556,0.5,
"density_sparse (n=300, m=2)",4,RL,0.9066666666666667,0.0,0.0,True
"density_sparse (n=300, m=2)",5,GAT threshold,0.11367945539115287,0.0,0.5,
"density_sparse (n=300, m=2)",5,GAT top-k,0.10304526442873822,0.0,0.610738255033557,
"density_sparse (n=300, m=2)",5,degree-centrality,0.13014642687625655,0.0,0.5,
"density_sparse (n=300, m=2)",5,betweenness-centrality,0.12988047649179948,0.0,0.5,
"density_sparse (n=300, m=2)",5,highest-p_uv,0.11241414740394592,0.0,0.5,
"density_sparse (n=300, m=2)",5,random,0.17295562988264232,0.0,0.5,
"density_sparse (n=300, m=2)",5,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",6,GAT threshold,0.10607632148135449,0.0,0.5,
"density_sparse (n=300, m=2)",6,GAT top-k,0.09209906402643475,1.0,0.6359060402684564,
"density_sparse (n=300, m=2)",6,degree-centrality,0.10206359157685176,0.0,0.5,
"density_sparse (n=300, m=2)",6,betweenness-centrality,0.09988290158947727,0.0,0.5,
"density_sparse (n=300, m=2)",6,highest-p_uv,0.11584102957778752,0.0,0.5,
"density_sparse (n=300, m=2)",6,random,0.177753758962335,0.0,0.5,
"density_sparse (n=300, m=2)",6,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",7,GAT threshold,0.11767612034003923,0.0,0.5,
"density_sparse (n=300, m=2)",7,GAT top-k,0.0961121174940078,0.0,0.6308724832214765,
"density_sparse (n=300, m=2)",7,degree-centrality,0.09987787657447483,0.5,0.5,
"density_sparse (n=300, m=2)",7,betweenness-centrality,0.09398822368869808,0.0,0.5,
"density_sparse (n=300, m=2)",7,highest-p_uv,0.10784547819439384,0.0,0.5,
"density_sparse (n=300, m=2)",7,random,0.19678886972206583,0.0,0.5,
"density_sparse (n=300, m=2)",7,RL,1.0,0.0,0.0,True
"density_sparse (n=300, m=2)",8,GAT threshold,0.17683858692384727,0.7499999999999999,0.5,
"density_sparse (n=300, m=2)",8,GAT top-k,0.14221419862945456,0.5714285714285715,0.6224832214765101,
"density_sparse (n=300, m=2)",8,degree-centrality,0.14366745566109762,0.6666666666666665,0.5,
"density_sparse (n=300, m=2)",8,betweenness-centrality,0.1525849112758811,0.28571428571428575,0.5,
"density_sparse (n=300, m=2)",8,highest-p_uv,0.1663574580455568,0.5714285714285715,0.5,
"density_sparse (n=300, m=2)",8,random,0.23793398247090827,0.4761904761904763,0.5,
"density_sparse (n=300, m=2)",8,RL,1.0,0.5714285714285715,0.0,True
"density_sparse (n=300, m=2)",9,GAT threshold,0.12661343981348464,1.0,0.5,
"density_sparse (n=300, m=2)",9,GAT top-k,0.0727498619298999,1.0,0.598993288590604,
"density_sparse (n=300, m=2)",9,degree-centrality,0.06274499463341508,0.8,0.5,
"density_sparse (n=300, m=2)",9,betweenness-centrality,0.08176303862654634,1.0,0.5,
"density_sparse (n=300, m=2)",9,highest-p_uv,0.09287024404789984,0.6666666666666666,0.5,
"density_sparse (n=300, m=2)",9,random,0.17144163892501668,0.611111111111111,0.5,
"density_sparse (n=300, m=2)",9,RL,0.12883698206992938,0.6666666666666666,0.5,False
"density_sparse (n=300, m=2)",10,GAT threshold,0.1712004264724244,0.6666666666666666,0.5,
"density_sparse (n=300, m=2)",10,GAT top-k,0.09394945651889787,0.6666666666666666,0.6023489932885906,
"density_sparse (n=300, m=2)",10,degree-centrality,0.07015516528401958,0.5,0.5,
"density_sparse (n=300, m=2)",10,betweenness-centrality,0.07993485797875188,0.6666666666666666,0.5,
"density_sparse (n=300, m=2)",10,highest-p_uv,0.08348849861735291,1.0,0.5,
"density_sparse (n=300, m=2)",10,random,0.23409386368403745,0.8888888888888888,0.5,
"density_sparse (n=300, m=2)",10,RL,1.0,0.6666666666666666,0.0,True
"density_sparse (n=300, m=2)",11,GAT threshold,0.12004731450248095,0.6666666666666666,0.5,
"density_sparse (n=300, m=2)",11,GAT top-k,0.09386130671356922,0.6666666666666666,0.6073825503355705,
"density_sparse (n=300, m=2)",11,degree-centrality,0.10356848034214554,0.6666666666666666,0.5,
